country,description,designation,points,price,province,region_1,title,variety,year,category,price_range
United States,"A super value, this new Sharecropper's offers very pretty black cherry fruit, a distinctive root beer flavor, and a bit of vanilla. It's forward and appealing, with more stuffing than most Pinots at this price.",Sharecropper's,90,21.0,Oregon,Willamette Valley,Owen Roe 2012 Sharecropper's Pinot Noir (Willamette Valley),Pinot Noir,2012.0,4/6 Excellent,Up to 50€
United States,"An abundance of fresh fruit spills out of this full-bodied, pure and uncomplicated wine in a way that's hard to resist. There is little obvious oak to get in the way of flavors like vine-ripened raspberries and blackberries as they stream along on fine tannins and lithe acidity.",Live Oak,92,34.0,California,Contra Costa County,Three 2013 Live Oak Zinfandel (Contra Costa County),Zinfandel,2013.0,4/6 Excellent,Up to 50€
United States,"Subtle hints of vanilla, lavender and spice lend depth to pristine peach and pear flavors in this judiciously balanced Chardonnay. It's fleshy and plump in mouthfeel but zesty lime notes keep the finish vibrant. Drink now through 2020.",Barrel Fermented,88,16.0,New York,Finger Lakes,Glenora 2014 Barrel Fermented Chardonnay (Finger Lakes),Chardonnay,2014.0,3/6 Very Good,Up to 20€
United States,"From a vineyard six miles off the coast, this wine is soft and smoky, a full-on rendering of berry pie topped with vanilla ice cream. Malleable in body, it has a richness that persists on the palate.",Goldrock Ridge,90,68.0,California,Sonoma Coast,Migration 2013 Goldrock Ridge Pinot Noir (Sonoma Coast),Pinot Noir,2013.0,4/6 Excellent,Up to 100€
United States,"The slightly oxidized nose on this wine, which is sourced from the K Block at Bien Nacido Vineyard and Jim Clendenen's own Le Bon Climat Vineyard, shows seared marshmallow, hot Marcona almonds and honey, with a noticeable alkalinity. The browned-butter palate is cut by a lemon peel zing that evolves into truffle salt and roasted nuts. All elements linger deep into the finish.",Nuits-Blanches Au Bouge,93,35.0,California,Santa Maria Valley,Au Bon Climat 2011 Nuits-Blanches Au Bouge Chardonnay (Santa Maria Valley),Chardonnay,2011.0,4/6 Excellent,Up to 50€
United States,"This well-priced wine shows deep aromas of blackcurrant and kirsch bolstered by soft cola, clove and sassafras notes. The palate is framed by a rocky, volcanic minerality and seductive structure that unveils vanilla, minty herbs and rich rhubarb.",Westside,91,20.0,California,Paso Robles,Peachy Canyon 2014 Westside Zinfandel (Paso Robles),Zinfandel,2014.0,4/6 Excellent,Up to 20€
United States,"Deeply flavored and impressive, this intensely young, Cabernet-based Bordeaux blend hails from Mount Veeder. It has all the hallmarks of a wine that needs time in the cellar. The sweetly extracted black currant and licorice fruit is massive, and so is the cedary oak, which is 80% new French, while considerable mountain tannins give a hard, astringent mouthfeel. Solidly in the modern Napa style, this opulent wine should improve over the next six years, at least.",Chapter Five,94,56.0,California,Napa Valley,Ramian 2005 Chapter Five Red (Napa Valley),Bordeaux-style Red Blend,2005.0,5/6 Superior,Up to 100€
United States,"High and tight aromas of cranberry, anise and thyme characterize the nose of this clonal study by Sabrine Rodems. Chaparral scrub shows at the tip of the sip and then broadens toward strawberry in the midpalate before tightening around pencil lead and herbes de provence flavors.",Swan 828,91,35.0,California,Monterey,Wrath 2013 Swan 828 Pinot Noir (Monterey),Pinot Noir,2013.0,4/6 Excellent,Up to 50€
United States,"Black olive, boysenberry, graphite and cracked pepper season up a slightly gamy nose on this bottling from a popular Los Alamos vineyard. The flavors are a study of blackness, with peppercorns, asphalt and deep purple fruits that are both dark and tart, all framed by a boisterous acidity.",White Hawk Vineyard,89,45.0,California,Santa Barbara County,Vie Winery 2012 White Hawk Vineyard Syrah (Santa Barbara County),Syrah,2012.0,3/6 Very Good,Up to 50€
United States,"Aromas of cedar and damp soil lend a clean, foresty air to this beautifully ripe yet restrained Bordeaux blend. Black fruit flavors are intensely concentrated yet brisk with acidity, strident grape tannins and a lingering granite finish.",Reserve,88,70.0,New York,North Fork of Long Island,Pellegrini Vineyards 2005 Reserve Red (North Fork of Long Island),Bordeaux-style Red Blend,2005.0,3/6 Very Good,Up to 100€
United States,"Lighter in color, this wine is a blend of Cabernet Sauvignon, Merlot and Cabernet Franc. The aromas are locked up tightly on first pour, opening up over time to reveal notes of herb, spice, flower and dark cherry. The palate is more giving, with abundant but still elegant cherry and herb flavors that linger on the finish. It's all about elegance.",Estate Bottled Carriage House DuBrul Vineyard,90,50.0,Washington,Yakima Valley,Côte Bonneville 2011 Estate Bottled Carriage House DuBrul Vineyard Red (Yakima Valley),Bordeaux-style Red Blend,2011.0,4/6 Excellent,Up to 50€
United States,"Named after famed Horse Heaven Hills grower Mimi Nye, this wine brings aromas of toast, custard and pineapple. Fruit and barrel flavors weave together on the palate, carrying through the finish.",Mimi,89,20.0,Washington,Horse Heaven Hills,Chateau Ste. Michelle 2014 Mimi Chardonnay (Horse Heaven Hills),Chardonnay,2014.0,3/6 Very Good,Up to 20€
United States,"Extended time in all new French oak barrels give this wine a heartier feel than it might otherwise have, swirls of oaky caramel and toast most prominent on the nose and initial palate. A richness of color also stands out, while velvety tannins and red fruit complete the experience. Letting the wine open helps temper its size, revealing a measured level of refinement.",Reserve,90,60.0,California,Russian River Valley,En Garde 2011 Reserve Pinot Noir (Russian River Valley),Pinot Noir,2011.0,4/6 Excellent,Up to 100€
United States,"An elegant wine with sculpted berry fruit flavors, this is compact and persistent. A touch of citrus accompanies generous allspice and baking-spice highlights. The lengthy finish brings hints of sandalwood and caramel.",Roads End,91,45.0,Oregon,Oregon,Carlton Cellars 2012 Roads End Pinot Noir (Oregon),Pinot Noir,2012.0,4/6 Excellent,Up to 50€
United States,"Caramelized apple and honey remain subtle enough to keep this wine balanced and restrained, a graceful representation of the true Sonoma Coast. From an estate vineyard, the wine shines in acidity with a mineral touch, offering a medium body with layers of crisp texture and a lingering, ripe pear-like finish.",Estate Vineyard,93,44.0,California,Fort Ross-Seaview,Failla 2013 Estate Vineyard Chardonnay (Fort Ross-Seaview),Chardonnay,2013.0,4/6 Excellent,Up to 50€
United States,"This distinctive biodynamic vineyard is near the Van Duzer Corridor, destined to become its own AVA soon. The fruit is a mix of berries and cherries, with a touch of Popsicle sweetness. There are notes of earth and barnyard also, well-integrated, and often found in such natural wines. Still pulling itself together, but complex and compelling already.",Momtazi Vineyard,89,55.0,Oregon,McMinnville,Fullerton 2014 Momtazi Vineyard Pinot Noir (McMinnville),Pinot Noir,2014.0,3/6 Very Good,Up to 100€
United States,"Aromas of barrel spice, dried green herb, dried fruit and game lead to quite sweet black-cherry flavors, with gamy notes on the finish. It seems a bit dried out.",96 Cedars,87,25.0,Washington,Columbia Valley (WA),Auclair 2014 96 Cedars Red (Columbia Valley (WA)),Bordeaux-style Red Blend,2014.0,3/6 Very Good,Up to 50€
United States,"Brick red in color, this toasty, oaky Zin is grippy and satisfying. Thick on the palate with sweet, ripe tannins and a dusty texture, it's nicely balanced with a long finish that's inviting with meaty foods.",Dragone Vineyard,89,24.0,California,Calaveras County,Hovey 2011 Dragone Vineyard Zinfandel (Calaveras County),Zinfandel,2011.0,3/6 Very Good,Up to 50€
United States,"Sweeter than in the past, this blend of Cabernet, Merlot, Sangiovese and Cab Franc has overtly sugary flavors of blackberry and cherry pie filling that are not appropriate in a table wine.",Twenty-Three Barrels Mo Jo,80,40.0,California,Sonoma County,Spann Vineyards 2004 Twenty-Three Barrels Mo Jo Red (Sonoma County),Red Blend,2004.0,1/6 Acceptable,Up to 50€
United States,"Made from 100% Cabernet grown in a hilly part of the valley, this wine is tight and dry in tannins. It's so astringent, it's nearly impossible to enjoy now. Yet it's extraordinarily rich and explosive in blackberry tart, black cherry pie and cassis flavors, and feels dramatic in the mouth. Should easily improve over the next decade. Hold until 2013.",Rockaway,94,75.0,California,Alexander Valley,Rodney Strong 2007 Rockaway Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,2007.0,5/6 Superior,Up to 100€
United States,"Plummy and tight, this wine comes from the Green Valley section of the Russian River Valley. Youthful, it hints at fierce acidity around delicately woven specks of mint, pine forest, rhubarb and clove. In the background, the region's classic cola cherry characteristic shows as well. Drink now through 2021.",Foray,91,44.0,California,Russian River Valley,Bailiwick 2013 Foray Pinot Noir (Russian River Valley),Pinot Noir,2013.0,4/6 Excellent,Up to 50€
United States,"This is a great example of Pinot Noir made in the slightly underripe style, showing underbrush, kalamata olive, black olive, black pepper and a touch of just-ripe mulberry on the nose. Those elements carry through the fresh sip, where intriguing notes of thyme, marjoram and bay leaf decorate the tart red-fruit and olive character.",Griva Vineyard,92,38.0,California,Arroyo Seco,Mercy 2013 Griva Vineyard Pinot Noir (Arroyo Seco),Pinot Noir,2013.0,4/6 Excellent,Up to 50€
United States,"A blend of 90% Barbera and 10% Viognier made into a white wine, this bottling is mired in candy apple and white grapy flavors. It's round and otherwise simple.",White Barbera,83,14.0,California,Shenandoah Valley (CA),Villa Toscano 2012 White Barbera Barbera (Shenandoah Valley (CA)),Barbera,2012.0,2/6 Good,Up to 20€
United States,"A big, juicy, fruit-bomb of a rosé, this Knight's Gambit from Erath mixes flavors of rosewater, watermelon, strawberries and cocoa in a big, broad, forward, palate-pleasing wine. The pretty pink color is from skin contact with the Pinot Gris—no red wine was added.",Knight's Gambit Rosé,88,22.0,Oregon,Dundee Hills,Erath 2008 Knight's Gambit Rosé Pinot Gris (Dundee Hills),Pinot Gris,2008.0,3/6 Very Good,Up to 50€
United States,"Great acidity on this wine, with a squirt of lime juice giving it needed zest. The wine itself is simple, lush and fruity, with peach and pineapple flavors.",Courtney's,86,27.0,California,Sta. Rita Hills,Lincourt 2010 Courtney's Chardonnay (Sta. Rita Hills),Chardonnay,2010.0,2/6 Good,Up to 50€
United States,"It's dry, with just-in-time acidity brightening pleasant raspberry, red currant and sandalwood flavors. As it warms in the glass, certain instabilities emerge. It's not an ager.",Terra de Promissio,87,72.0,California,Sonoma Coast,Spell 2012 Terra de Promissio Pinot Noir (Sonoma Coast),Pinot Noir,2012.0,3/6 Very Good,Up to 100€
United States,"Travis Scarborough has produced an outstanding Riesling, with a light coating of honey over rich and tart lemon and pineapple fruit. The concentration and length are admirable; this wine is delicious now but could be cellared for a decade or longer.",The Legend of...,91,15.0,Washington,Yakima Valley,Scarborough 2010 The Legend of... Riesling (Yakima Valley),Riesling,2010.0,4/6 Excellent,Up to 20€
United States,"This is a simple, straightforward combination of apple and caramel, light-bodied with layers of texture and complexity. A great midweek wine that works for larger gatherings as well, it's a great example of cool-climate fruit that isn't overdone in oak or ripeness.",Estate Grown,88,25.0,California,Carneros,Cuvaison 2014 Estate Grown Chardonnay (Carneros),Chardonnay,2014.0,3/6 Very Good,Up to 50€
United States,"The bringing-together of 60% Cabernet Sauvignon, 30% Merlot and 10% Sangiovese is rough, coming off as dry, smoky and a tad odd on the palate, the fruit hidden from sight.",Convivio,82,15.0,California,Alexander Valley,Field Stone 2012 Convivio Red (Alexander Valley),Red Blend,2012.0,1/6 Acceptable,Up to 20€
United States,"The aromas are quite bright, with notes of dried cranberry and raspberry along with spice and game. The palate is full of medicine-cabinet and game flavors, seeming a bit dried out.",StevensFranc,87,32.0,Washington,Yakima Valley,Stevens 2014 StevensFranc Cabernet Franc (Yakima Valley),Cabernet Franc,2014.0,3/6 Very Good,Up to 50€
United States,"Of all the current releases from this new winery, it is this rosé that is highest in alcohol. Thick and heavy, it's quite rich and expressive, with plum and cherry flavors. The finish is viscous and scented with rosewater.",Dahlia,88,18.0,Washington,Columbia Valley (WA),William Grassie 2012 Dahlia Rosé (Columbia Valley (WA)),Rosé,2012.0,3/6 Very Good,Up to 20€
United States,"This wine has the kind of beefy, muscular character that one expects in a Cab, with its earthy berry and leathery spice nose, and a layering of tobacco smoke, black pepper and rich berry on the palate. Decent tannins and minerality add to the weight. A good wine with ageable appeal.",Barrel Select,86,35.0,New York,Finger Lakes,Damiani 2006 Barrel Select Cabernet Sauvignon (Finger Lakes),Cabernet Sauvignon,2006.0,2/6 Good,Up to 50€
United States,"Clean and crisp aromas of Asian pear, lemongrass, honeysuckle, passion fruit and green plum show on the nose of this blend of 64% Sémillon and 36% Sauvignon Blanc. The palate would go down very easy on a hot day, with just a touch of acid-carrying flavors of gardenia, guava, mango and kaffir lime leaf.",De Propio Gravitas,88,16.0,California,North Coast,Bonny Doon 2015 De Propio Gravitas White (North Coast),White Blend,2015.0,3/6 Very Good,Up to 20€
United States,"A healthy portion of barrel influence is felt in this reserve wine, amid medium acidity. This makes for a robust, full-bodied experience, highlighted by caramel apple pie and pineapple, with muddles of butterscotch.",Reserve,87,45.0,California,Carneros-Napa Valley,Ca' Momi 2013 Reserve Chardonnay (Carneros-Napa Valley),Chardonnay,2013.0,3/6 Very Good,Up to 50€
United States,"Steely mineral and brisk grapefruit notes combine in this spry, cutting Grüner Veltliner. It's dry in style, with delicate concentration but loads of refreshment. The finish is touched with nut and earth tones. Drink now through 2019.",William Vigne,87,16.0,New York,Seneca Lake,Fulkerson 2016 William Vigne Grüner Veltliner (Seneca Lake),Grüner Veltliner,2016.0,3/6 Very Good,Up to 20€
United States,"Coming from an up-and-coming region of the valley, this wine is direct in its appeal, with opulent aromas of dark plum, grape gummy, peppery spices and an herbal top note. The flavors are broad and pure, showing a deft touch. Coffee flavors linger on the finish.",Summit View Vineyard,90,44.0,Washington,Walla Walla Valley (WA),Kontos 2013 Summit View Vineyard Malbec (Walla Walla Valley (WA)),Malbec,2013.0,4/6 Excellent,Up to 50€
United States,"Much more Pinot Noir like in style, this single vineyard Grenache offers aromas of fresh sagebrush, black raspberry, crushed slate and the slightest bit of game. It's light and bright on the palate, yet bolstered by strong and persistently grippy tannins, allowing rose petal and light violet flavors to shine atop the structure.",Hook Vineyard,93,25.0,California,Santa Lucia Highlands,Santa Cruz Mountain Vineyard 2015 Hook Vineyard Grenache (Santa Lucia Highlands),Grenache,2015.0,4/6 Excellent,Up to 50€
United States,"This blend of Syrah and Malbec was sourced from the estate's Doc Stewart Vineyard. Light, tart rhubarb and watermelon flavors show an accent of mocha. Drink up.",the pilgrim,85,15.0,Washington,Wahluke Slope,Gilbert Cellars 2008 the pilgrim Red (Wahluke Slope),Red Blend,2008.0,2/6 Good,Up to 20€
United States,"Very ripe and almost sweet in jammy, pie-filling cherries and raspberries, with a rich seasoning of cinnamon, brown sugar and cocoa. But it's technically dry, and has a crispness from fine Arroyo Seco acidity. Drink now.",Fog's Reach Vineyard,87,35.0,California,Arroyo Seco,J. Lohr 2007 Fog's Reach Vineyard Pinot Noir (Arroyo Seco),Pinot Noir,2007.0,3/6 Very Good,Up to 50€
United States,"This is a very light, thin, spicy wine, pleasant but undistinguished.",'Vie!',83,15.0,Washington,Columbia Valley (WA),Vin du Lac 2006 'Vie!' Viognier-Roussanne (Columbia Valley (WA)),Viognier-Roussanne,2006.0,2/6 Good,Up to 20€
United States,"An inviting hint of butter shows on the nose of this big, bold and concentrated wine. It displays craftsmanship through its embrace of lightly toasted oak, which accents vibrant apple and pear notes. It's lushly textured, with persistent acidity and a lemon peel flourish on the close.",Quail Hill Vineyard,95,60.0,California,Russian River Valley,Lynmar 2015 Quail Hill Vineyard Chardonnay (Russian River Valley),Chardonnay,2015.0,5/6 Superior,Up to 100€
United States,"ONX's current releases are quite delicious and complex. This rich, multi-layered blend of 63% Syrah, 21% Malbec, 11% Grenache and 5% Petite Sirah shows blackened plum, blueberry, soy, porcini mushroom and pepper notes on the nose. On the palate, blackberry, charred lamb and rosemary flavors are the story, framed by upright structure and powerful acidity.",Reckoning,94,58.0,California,Templeton Gap District,ONX 2014 Reckoning Red (Templeton Gap District),Red Blend,2014.0,5/6 Superior,Up to 100€
United States,"Right up there with last year's bottling, this Grenache Blanc-Sauvignon Blanc blend is unoaked, offering pure flavors of terroir-inspired fruit. High acidity backs up the lemongrass, pineapple, peach and honeysuckle flavors that finish so dry and spicy.",Uno Mas,90,22.0,California,Santa Ynez Valley,Brander 2006 Uno Mas White (Santa Ynez Valley),White Blend,2006.0,4/6 Excellent,Up to 50€
United States,"Spicy, savory aromas of smoked nuts and coconut are brightened by clean, green floral notes on this dry, medium-bodied Chardonnay. Quite creamy in texture with a smoke-inflected vanilla palate, it's a well-balanced accompaniment to hearty fowl or braised pork dishes.",Reserve Estate Bottled,85,20.0,New York,Finger Lakes,Lamoreaux Landing 2008 Reserve Estate Bottled Chardonnay (Finger Lakes),Chardonnay,2008.0,2/6 Good,Up to 20€
United States,"Hard to say just why this Chard isn't better. It's nicely dry, with decent acidity, good oak and a mineral background to the citrus and peach flavors. There's just a heaviness that keeps the wine from getting airborne.",Reserve,87,45.0,California,Carneros,Clos du Val 2008 Reserve Chardonnay (Carneros),Chardonnay,2008.0,3/6 Very Good,Up to 50€
United States,"Barrel-fermented, this Sauvignon Blanc has a rich, creamy mouthfeel. Smoky notes of vanilla and sweet oak frame flavors of lemons and limes, figs, pineapples and cinnamon sugar.",Estate,86,19.0,California,Rutherford,Sawyer 2006 Estate Sauvignon Blanc (Rutherford),Sauvignon Blanc,2006.0,2/6 Good,Up to 20€
United States,"This wine is named for the four Sullivan brothers, one of whom makes the Benovia wines and another who makes this wine, among others. A clear labor of love, this small-production Chardonnay is well tended to. A sweetness of honeysuckle opens on the nose, followed by a depth of vanilla oak and stony minerality, the acidity fresh and bright.",Four Brothers Vineyard,92,40.0,California,Bennett Valley,Grey Stack 2014 Four Brothers Vineyard Chardonnay (Bennett Valley),Chardonnay,2014.0,4/6 Excellent,Up to 50€
United States,"A brooding note of espresso jumps from the glass and conceals any fruit that sits below. Formidable tannins would serve as a great complement to grilled game. Flavors of espresso, chocolate and licorice dominate the palate.",Carter Mountain,85,30.0,Virginia,Virginia,Cooper Vineyards 2010 Carter Mountain Cabernet Sauvignon (Virginia),Cabernet Sauvignon,2010.0,2/6 Good,Up to 50€
United States,"Based on 84% Cabernet Sauvignon, with all four major red Bordeaux varieties represented, this expansive wine is big, dense and dusty in tannins and oak, but offers a soft side, too. Cherry, strawberry and a lift of citrus peel ease the power and intensity, before a chewy, dark chocolate finish. Cellar through 2021.",Synchrony Stagecoach Vineyard,91,100.0,California,Napa Valley,Krupp Brothers 2011 Synchrony Stagecoach Vineyard Red (Napa Valley),Bordeaux-style Red Blend,2011.0,4/6 Excellent,Up to 100€
United States,"Shows fine pedigree in the ripeness and finesse of the tannins, which are as pure as velvet. Flavorwise, this Syrah is very ripe, bursting in blackberry, black cherry, pomegranate, licorice and mocha flavors that are almost sweet on the finish. It's made in the modern Napa style, and not an ager.",Masked Man Vineyard,87,35.0,California,Napa Valley,Calix 2005 Masked Man Vineyard Syrah (Napa Valley),Syrah,2005.0,3/6 Very Good,Up to 50€
United States,"Made to benefit the Wente Foundation for Arts Education, this wine is made in small quantities. It is juicy and leathery, soft, structured and medium-bodied with a long finish of tar and tannin.",The Art of Giving,86,100.0,California,Livermore Valley,Wente 2011 The Art of Giving Red (Livermore Valley),Red Blend,2011.0,2/6 Good,Up to 100€
United States,"The aromas bring brooding notes of black cherry, bittersweet chocolate and wood accents. The palate is power packed and tightly wound with firm but not unyielding tannins. It needs time in the cellar or a long decant.",The V,91,54.0,Washington,Columbia Valley (WA),Adams Bench 2013 The V Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,2013.0,4/6 Excellent,Up to 100€
United States,"Largely tannic and bearing a lot of oak, Amador Foothill's Sangiovese is more savory than sweet, with leather, mocha and herbs rising to the top in taste.",Estate Bottled,86,18.0,California,Shenandoah Valley (CA),Amador Foothill Winery 2009 Estate Bottled Sangiovese (Shenandoah Valley (CA)),Sangiovese,2009.0,2/6 Good,Up to 20€
United States,"This young wine still seems to be in its shell, with a whiff of matchstick along with herb aromas. The cherry flavors are light and tart with a supple feel. Try it with food to see it at its best.",Doc Stewart Vineyard,88,20.0,Washington,Wahluke Slope,Wilridge 2013 Doc Stewart Vineyard Cabernet Sauvignon (Wahluke Slope),Cabernet Sauvignon,2013.0,3/6 Very Good,Up to 20€
United States,"Fermented in neutral French oak and kept light and bright, this wine is sourced from two high-elevation vineyards (both estate) above the producer's winery, including La Perla at 1,100 feet. Ripe in voluptuous white peach and pear, it's lush yet balanced, offering tawny toffee and vanilla, yet finishing in more complex lemongrass. The blend holds 5% Sémillon.",Estate Bottled,91,40.0,California,Napa Valley,Spring Mountain Vineyard 2013 Estate Bottled Sauvignon Blanc (Napa Valley),Sauvignon Blanc,2013.0,4/6 Excellent,Up to 50€
United States,"A raw, rustic blend based on Sangiovese and Merlot, this wine is very dry and astringent in tannins. It's an old-fashioned wine that's technically without flaws.",Cuvee 32,84,25.0,California,Alexander Valley,La Storia 2006 Cuvee 32 Red (Alexander Valley),Red Blend,2006.0,2/6 Good,Up to 50€
United States,"Despite the low alcohol, this is quite dry and tart, with a lemony base and some orange-pekoe flavors also. Not a complex Riesling, but light and pleasantly sippable.",Estate Exclusive,87,25.0,Oregon,Dundee Hills,Stoller 2012 Estate Exclusive Riesling (Dundee Hills),Riesling,2012.0,3/6 Very Good,Up to 50€
United States,"Root beer, cola nut, black cherry, black raspberry and anise seed combine for an exciting nose on this bottling from a winery near Morgan Hill. The mouthfeel is full, with graphite and lively fennel-bulb spice mixing with blackberry fruit and an earthy elegance on the pleasing palate.",Murphy's Choice,90,50.0,California,Santa Cruz Mountains,Clos LaChance 2012 Murphy's Choice Pinot Noir (Santa Cruz Mountains),Pinot Noir,2012.0,4/6 Excellent,Up to 50€
United States,"Dusty violets rise on the nose of this wine, from an estate planting and blended with 13% Cabernet Franc, 6% Merlot and 6% Malbec. Restrained tannins provide a shy backbone, seasoned in cedar and tar, making for an ultimately quaffable experience.",Bradford Mountain Estate Vineyard,90,36.0,California,Dry Creek Valley,Peterson 2012 Bradford Mountain Estate Vineyard Petit Verdot (Dry Creek Valley),Petit Verdot,2012.0,4/6 Excellent,Up to 50€
United States,"This 100% Cabernet is so rich with blackberries, black currants and oak, you might be tempted to drink it now. Don't. It's a wine that will develop over many years. The tannins are thick and structured, and the acidity balanced. Begin drinking this beauty in 2018.",Game Ranch Single Vineyard Selection PLUS,94,150.0,California,Oakville,Goldschmidt 2008 Game Ranch Single Vineyard Selection PLUS Cabernet Sauvignon (Oakville),Cabernet Sauvignon,2008.0,5/6 Superior,Up to 500€
United States,"Rhubarb, cranberry and strawberry mix on the nose in this richly inviting wine that is textured and not overwhelming in weight. Featuring electric acidity, the wine finishes boldly in blackberry and licorice.",Kaufman Sunnyside Vineyard,90,42.0,California,Sonoma Mountain,WillowBrook Cellars 2012 Kaufman Sunnyside Vineyard Pinot Noir (Sonoma Mountain),Pinot Noir,2012.0,4/6 Excellent,Up to 50€
United States,"Aromas of candy corn, spice and almond butter are followed by full-bodied, tropical-fruit flavors that show a pleasing sense of richness and intensity. It's a delicious example of the variety, with a lingering finish.",Barrel Fermented,91,25.0,Washington,Columbia Valley (WA),Ashan 2016 Barrel Fermented Chardonnay (Columbia Valley (WA)),Chardonnay,2016.0,4/6 Excellent,Up to 50€
United States,"This is a real palate-pleaser. Forward, fresh flavors of cherry and plum are accented by light herb notes and finished with a frame of chocolate. It gains precision as it lengthens through the finish, showing medium weight and enough structure to continue to drink well through 2022.",Estate,90,30.0,Oregon,Willamette Valley,Willamette Valley Vineyards 2013 Estate Pinot Noir (Willamette Valley),Pinot Noir,2013.0,4/6 Excellent,Up to 50€
United States,"A smoky narcissus note is upfront and almost obtrusive, with brooding notes of spiced black fruit and char lurking in the background. The tannins are drying—with the consistency of finely ground sand—and they constrict the flavors a bit. A food wine for sure, it needs to be paired with a slab of rare meat.",Marquis de Lafayette,86,20.0,Virginia,Virginia,Breaux 2009 Marquis de Lafayette Cabernet Franc (Virginia),Cabernet Franc,2009.0,2/6 Good,Up to 20€
United States,"The aromas are brooding, with notes of cranberry and dark fruit sprinkled with baking spices. The palate is rich and flavorful, packing a wallop of cherry flavors.",Aerial Series Block D,91,52.0,Washington,Red Mountain,Revelry 2013 Aerial Series Block D Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,2013.0,4/6 Excellent,Up to 100€
